,school_id,mean,intervention,remoteness_index,cct_percentage,student_classroom_ratio,student_teacher_ratio,pwd_total,female_percentage,male_percentage,pca
4469,109315,15.85,1,0.002092667,0.03597472,0.008903606,0.035711806,0,0.368821909,0.29338843,0.001000055
4470,109316,16.048,1,0.004522408,0.083333333,0.005064277,0.030952381,0,0.331623932,0.323076923,0.001000055
4471,109317,15.412,1,0.003616522,0.033911672,0.006860581,0.034086022,0,0.358044164,0.302839117,0.001000055
4472,109318,15.8,1,0.003023132,0.090747857,0.0086136,0.04027381,0.000500501,0.36890334,0.294117647,0.001000055
4473,109319,16.252,1,0.002622856,0.000233291,0.012233319,0.035192939,0,0.366499475,0.295754112,0.001000055
4474,109320,14.678,1,0.007710566,0.00049776,0.010163969,0.034637931,0,0.360820751,0.304297329,0.000999999
4475,109321,15.46,1,0.005667055,0.002033701,0.006670969,0.036773504,0,0.365678869,0.297791981,0.000999999
4476,109322,14.548,1,0.013904299,0.051282051,0.003798208,0.01625,0,0.324786325,0.316239316,0.000999999
4477,109323,14.884,1,0.009789188,0.000206868,0.019021536,0.036621212,0,0.357054199,0.302441043,0.000999999
4478,109324,15.018,1,0.001959242,0.013906448,0.011412659,0.02865942,0,0.376738306,0.290139064,0.000999999
4479,109325,15.48,1,0.001576523,0.017714045,0.010995789,0.034066092,0,0.361591452,0.297553775,0.000999999
4480,109326,15.232,1,0.004543476,0.007514761,0.007330807,0.036964286,0,0.359992843,0.303811057,0.000999999
4481,109327,16.776,1,0.000977514,0.00707124,0.012303597,0.035566817,0,0.364890062,0.296253298,0.001000055
4482,109328,17.12,0,0.006134043,0.008201523,0.018471627,0.0355625,0,0.360867018,0.297891037,0.001000055
4483,109329,17.402,0,0.003325094,0.001597955,0.014511102,0.036215278,0,0.360924683,0.302173218,0.001000055
4484,109330,16.224,1,0.004943751,0,0.011590159,0.038075397,0,0.362862602,0.307060969,0.001000055
4485,109331,16.062,1,0.003841238,0,0.006335603,0.032098997,0,0.365410892,0.290942807,0.001000055
4486,109332,16.864,0,0.004848949,0,0.005786586,0.03127193,0,0.334735858,0.308204769,0.000999999
4487,109333,15.848,1,0.004901617,0.001472754,0.011756049,0.037722222,0,0.362297496,0.310382916,0.001000055
4488,109334,17.298,0,0.006169155,0,0.006837274,0.032595238,0,0.355490626,0.302410519,0.001000055
4489,109336,16.53,1,0.006650187,0.020408163,0.020281457,0.034139344,0,0.359343737,0.309123649,0.001000055
4490,109337,14.65,1,0.004255558,0.000370165,0.026984508,0.039495614,0,0.36757357,0.30483065,0.000999999
4491,109338,14.272,1,0.005410739,0,0.006012206,0.032152778,0,0.370050396,0.325053996,0.000999999
4492,109339,16.232,1,6.88E-05,0.001847291,0.015062979,0.030757576,0,0.35591133,0.30613711,0.000999999
4493,109340,16.846,0,0.001608123,0.001259446,0.010310349,0.037809524,0.005005005,0.356842989,0.313602015,0.001000055
4494,109341,16.692,1,0.007331358,0.039198606,0.012422629,0.036794872,0,0.365853659,0.283972125,0.000999999
4495,109342,16.68,1,0.001679752,0.002106249,0.014412026,0.035968013,0,0.367423356,0.303007255,0.000999999
4496,109343,16.142,1,0.003714835,0.000830565,0.01421303,0.034597701,0,0.368217054,0.297757475,0.000999999
4497,109344,15.716,1,0.005575764,0.001338688,0.008818217,0.034583333,0,0.388219545,0.301204819,0.001000055
4498,109346,14.044,1,0.003630567,0.037891269,0.005085221,0.033722222,0,0.355848435,0.31630972,0.001000055
4499,109347,17.882,0,0.009086951,0,0.002683634,0.022962963,0,0.376344086,0.300403226,0.000999999
4500,109348,14.724,1,0.01414306,0,0.006041996,0.032958333,0,0.372524231,0.297724399,0.000999999
4501,109349,14.862,1,0.010779343,0.005813953,0.00319068,0.02047619,0,0.430232558,0.252906977,0
4502,109350,15.646,1,0.001576523,0.000816327,0.015519049,0.036458333,0,0.36952381,0.291836735,0.000999999
4503,109351,15.29,1,0.002966953,0.002697495,0.008640237,0.039318182,0,0.358381503,0.294412331,0.001000055
4504,109352,18.05,0,0.006650187,0.002544529,0.005371825,0.036388889,0,0.35793045,0.30216285,0.000999999
4505,109354,15.226,1,0.005856659,0,0.00669086,0.032633333,0,0.376574736,0.274259448,0.000999999
4506,109355,14.554,1,0.004006264,0.037525355,0.005566753,0.037348485,0,0.373225152,0.286511156,0.001000055
4507,109356,16.118,1,0.002935352,0.019313305,0.005903573,0.029871795,0,0.365879828,0.306062232,0.001000055
4508,109357,14.38,1,0.006987261,0.00124533,0.006517011,0.037175926,0,0.365296804,0.306039851,0.000999999
4509,109358,15.418,1,0.003325094,0,0.021117387,0.040154321,0,0.363054061,0.299577248,0.001000055
4510,109359,14.812,1,0.007127709,0,0.005165274,0.022948718,0,0.374301676,0.282122905,0.000999999
4511,109360,13.636,1,0.024451904,0.042735043,0.002170405,0.013928571,0,0.336182336,0.311965812,0.000999999
4512,109361,15.652,1,0.007682476,0,0.012465914,0.033333333,0,0.358333333,0.313020833,0.001000055
4513,109362,15.132,1,0.003304027,0.008678881,0.005984793,0.037572464,0.001001001,0.37704918,0.290019286,0.001000055
4514,109363,15.852,1,0.009111529,0,0.002986625,0.016428571,0,0.314009662,0.304347826,0
4515,109364,15.956,1,0.006292046,0.024588207,0.007252738,0.034223856,0,0.365401448,0.285629028,0.001000055
4516,109365,18.048,0,0.004452185,0.034757422,0.005784754,0.034873737,0,0.366401159,0.301230992,0.000999999
4517,109366,15.23,1,0.005013975,0,0.006418461,0.036041667,0,0.366730893,0.299614644,0.001000055
4518,109367,14.68,1,0.004701479,0,0.006685933,0.035480769,0,0.375188196,0.298554652,0.001000055
4519,109368,15.766,1,0.003865816,0.010067114,0.004643553,0.033863636,0,0.39448173,0.279642058,0.001000055
4520,109369,16.318,1,0.004701479,0.02917232,0.01007388,0.036127451,0,0.360922659,0.306309362,0.001000055
4521,109370,15.104,1,0.005568742,0,0.004544864,0.030989583,0,0.349579832,0.316806723,0.000999999
4522,109371,13.576,1,0.007991461,0.04770477,0.005152392,0.035608974,0,0.400840084,0.275427543,0.000999999
4523,109372,18.24,0,0.004701479,0.0056926,0.005264052,0.027447917,0,0.364326376,0.305502846,0.001000055
4524,109375,14.57,1,0.007201444,0.123636364,0.004463706,0.028645833,0,0.368484848,0.294545455,0.000999999
4525,109376,14.87,1,0.011460513,0.042918455,0.003025581,0.027738095,0,0.389127325,0.291845494,0.000999999
4526,109378,14.836,1,0.008370669,0.007285974,0.00475263,0.02859375,0,0.384942319,0.275045537,0.000999999
4527,109379,15.34,1,0.009311667,0.129032258,0.00290727,0.025833333,0,0.347394541,0.308933002,0.001000055
4528,109380,14.318,1,0.007661409,0.138801262,0.005880498,0.029351852,0,0.361724501,0.29022082,0.000999999
4529,109381,14.862,1,0.008967571,0.349315069,0.004739644,0.026071429,0,0.348554033,0.304794521,0.001000055
