,school_id,percent_grad_above,percent_female,total_repeaters,sc_ratio,st_ratio,sComp_ratio,perc_rep,WORKDAYS_PR,WORKDAYS_UPR,SCHHRSTCH_PR,SCHHRSCHILD_UPR,SCHHRSTCH_UPR,APPROACHBYROAD,CCE_YN,PCR_MAINTAINED,PCR_SHARED,WSEC25P_ENROLLED,SMC_YN,SMCNOMLOCAL_M,SMCNOMLOCAL_F,TXTBKRECD_YN,SMCMEM,SMSPARENTS,pass_percent,intervention
2015,27141311604,50,0,0,0,47.875,29.46153846,0,0,234,0,5.3,6.3,1,1,1,1,0,1,1,1,1,18,12,55.38,1
2016,27070110304,12.5,12.5,2,0,29.125,233,0.858369099,0,233,0,5.4,6,1,1,1,1,0,1,5,1,1,17,11,97.82,0
2017,27141510303,100,11.11111111,0,264,29.33333333,88,0,235,235,6.3,5.3,6.3,1,1,1,1,0,1,0,0,1,7,3,78.18,1
2018,27060106102,100,0,0,0,26.2,131,0,0,0,0,0,0,1,1,1,1,0,1,2,0,1,18,2,93.75,0
2019,27200207503,100,0,0,0,22.4,37.33333333,0,0,230,0,6,7,1,1,1,1,0,1,1,0,1,13,11,89.74,1
2020,27200207503,100,0,0,0,22.4,37.33333333,0,0,230,0,6,7,1,1,1,1,0,1,1,0,1,13,11,89.74,1
2021,27140109402,85,15,5,1102,55.1,551,0.453720508,237,237,6,6,6,1,1,1,1,0,1,1,0,1,16,3,85.14,1
2022,27310707703,86.66666667,6.666666667,0,226,30.13333333,12.91428571,0,241,241,6.36,5.36,6.36,1,1,1,1,0,1,0,1,1,12,5,100,0
2023,27050701604,64.28571429,7.142857143,0,338,24.14285714,112.6666667,0,232,232,6.3,6,6.3,1,1,1,1,0,1,1,0,1,18,10,62.9,1
2024,27071506104,62.5,37.5,0,177,22.125,59,0,235,235,8,6,8,1,2,2,2,0,1,1,0,1,13,6,78.57,1
2025,27230600199,100,66.66666667,0,310,34.44444444,77.5,0,220,220,6,5.3,6,1,1,1,1,0,0,0,0,2,0,0,89.65,1
2026,27201802107,100,25,0,0,63.625,127.25,0,0,220,0,5.3,5.3,1,1,1,1,0,1,0,0,1,8,0,62.87,1
2027,27201802107,100,25,0,0,63.625,127.25,0,0,220,0,5.3,5.3,1,1,1,1,0,1,0,0,1,8,0,62.87,1
2028,27141510816,95,80,0,62.5,18.75,17.85714286,0,238,238,6.3,5.3,6.3,1,1,1,1,7,0,0,0,1,0,0,100,0
2029,27170206802,81.81818182,0,0,449,40.81818182,149.6666667,0,240,240,6,5.3,6,1,1,1,1,0,1,0,0,1,0,0,96.2,0
2030,27210908903,100,0,0,0,21,21,0,0,226,0,6,6,1,1,1,1,0,1,0,0,2,0,0,91.66,0
2031,27280909003,100,0,0,0,29.2,12.16666667,0,0,236,0,5.3,6.3,1,1,1,1,0,2,0,0,1,0,0,84.37,1
2032,27050308507,100,18.18181818,0,269,24.45454545,14.15789474,0,233,233,6.3,6,6.3,1,1,1,1,0,1,0,0,1,11,5,63.82,1
2033,27150611336,66.66666667,22.22222222,0,100.5,22.33333333,33.5,0,230,230,6,6,6,1,1,1,1,0,1,1,1,1,7,0,87.5,1
2034,27281100813,100,40,0,0,34.5,8.625,0,0,240,0,5.3,6.3,1,0,0,0,0,0,0,0,0,0,0,99.02,0
2035,27040508803,100,0,0,0,25.27272727,92.66666667,0,0,232,0,5.4,6.4,1,1,1,1,0,2,0,0,1,0,0,93.33,0
